hostname=node2, be=0, 64-bit, os=Linux, arch=aarch64, fio=fio-3.12, flags=1
<node2> rbd: (g=0): rw=randrw, bs=(R) 8192B-8192B, (W) 8192B-8192B, (T) 8192B-8192B, ioengine=rbd, iodepth=64
<node2> Starting 1 process
Jobs: 1 (f=1)
Jobs: 1 (f=1)
Jobs: 1 (f=1): [m(1)][30.2%][r=6920k,w=3088k][r=865,w=386 IOPS][eta 06m:59s]
Jobs: 1 (f=1): [m(1)][30.3%][r=6672k,w=2680k][r=834,w=335 IOPS][eta 06m:58s]
Jobs: 1 (f=1): [m(1)][30.5%][r=7608k,w=3248k][r=951,w=406 IOPS][eta 06m:57s]
Jobs: 1 (f=1): [m(1)][30.7%][r=6896k,w=3184k][r=862,w=398 IOPS][eta 06m:56s]
Jobs: 1 (f=1): [m(1)][30.8%][r=7176k,w=2992k][r=897,w=374 IOPS][eta 06m:55s]
Jobs: 1 (f=1): [m(1)][31.0%][r=7272k,w=3096k][r=909,w=387 IOPS][eta 06m:54s]
Jobs: 1 (f=1): [m(1)][31.2%][r=6344k,w=3080k][r=793,w=385 IOPS][eta 06m:53s]
Jobs: 1 (f=1): [m(1)][31.3%][r=7704k,w=3376k][r=963,w=422 IOPS][eta 06m:52s]
Jobs: 1 (f=1): [m(1)][31.5%][r=6952k,w=3320k][r=869,w=415 IOPS][eta 06m:51s]
Jobs: 1 (f=1): [m(1)][31.7%][r=6504k,w=2560k][r=813,w=320 IOPS][eta 06m:50s]
Jobs: 1 (f=1): [m(1)][31.8%][r=7312k,w=3176k][r=914,w=397 IOPS][eta 06m:49s]
Jobs: 1 (f=1): [m(1)][32.0%][r=8280k,w=3160k][r=1035,w=395 IOPS][eta 06m:48s]
Jobs: 1 (f=1): [m(1)][32.2%][r=6608k,w=2896k][r=826,w=362 IOPS][eta 06m:47s] 
Jobs: 1 (f=1): [m(1)][32.3%][r=6504k,w=3384k][r=813,w=423 IOPS][eta 06m:46s]
Jobs: 1 (f=1): [m(1)][32.5%][r=6712k,w=2912k][r=839,w=364 IOPS][eta 06m:45s]
Jobs: 1 (f=1): [m(1)][32.7%][r=6896k,w=3048k][r=862,w=381 IOPS][eta 06m:44s]
Jobs: 1 (f=1): [m(1)][32.8%][r=6824k,w=3168k][r=853,w=396 IOPS][eta 06m:43s]
Jobs: 1 (f=1): [m(1)][33.0%][r=6848k,w=2976k][r=856,w=372 IOPS][eta 06m:42s]
Jobs: 1 (f=1): [m(1)][33.2%][r=6864k,w=2768k][r=858,w=346 IOPS][eta 06m:41s]
Jobs: 1 (f=1): [m(1)][33.3%][r=7600k,w=3256k][r=950,w=407 IOPS][eta 06m:40s]
Jobs: 1 (f=1): [m(1)][33.5%][r=7264k,w=3072k][r=908,w=384 IOPS][eta 06m:39s]
Jobs: 1 (f=1): [m(1)][33.7%][r=6888k,w=3200k][r=861,w=400 IOPS][eta 06m:38s]
Jobs: 1 (f=1): [m(1)][33.8%][r=7240k,w=2960k][r=905,w=370 IOPS][eta 06m:37s]
Jobs: 1 (f=1): [m(1)][34.0%][r=6208k,w=2824k][r=776,w=353 IOPS][eta 06m:36s]
Jobs: 1 (f=1): [m(1)][34.2%][r=6592k,w=3216k][r=824,w=402 IOPS][eta 06m:35s]
Jobs: 1 (f=1): [m(1)][34.3%][r=7336k,w=3000k][r=917,w=375 IOPS][eta 06m:34s]
Jobs: 1 (f=1): [m(1)][34.5%][r=7184k,w=3248k][r=898,w=406 IOPS][eta 06m:33s]
Jobs: 1 (f=1): [m(1)][34.7%][r=7744k,w=3128k][r=968,w=391 IOPS][eta 06m:32s]
Jobs: 1 (f=1): [m(1)][34.8%][r=7264k,w=2864k][r=908,w=358 IOPS][eta 06m:31s]
Jobs: 1 (f=1): [m(1)][35.0%][r=7080k,w=3168k][r=885,w=396 IOPS][eta 06m:30s]
Jobs: 1 (f=1): [m(1)][35.2%][r=7360k,w=2880k][r=920,w=360 IOPS][eta 06m:29s]
Jobs: 1 (f=1): [m(1)][35.3%][r=7560k,w=2701k][r=945,w=337 IOPS][eta 06m:28s]
Jobs: 1 (f=1): [m(1)][35.5%][r=6768k,w=3024k][r=846,w=378 IOPS][eta 06m:27s]
Jobs: 1 (f=1): [m(1)][35.7%][r=6792k,w=2920k][r=849,w=365 IOPS][eta 06m:26s]
